doc_type	doc_id	num	date_str	description	url_metadata	lang	url_pdf
lk_hansard_2010s	2019-11-11-2019-11-11	2019-11-11	2019-11-11	Hansard of November 11, 2019	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/documents/hansard/1574066230045551.pdf
lk_hansard_2010s	2019-11-07-2019-11-07	2019-11-07	2019-11-07	Hansard of November 07, 2019	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/documents/hansard/1573634432020519.pdf
lk_hansard_2010s	2019-10-23-2019-10-23	2019-10-23	2019-10-23	Hansard of October 23, 2019	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/documents/hansard/1572429538021181.pdf
lk_hansard_2010s	2019-10-08-2019-10-08	2019-10-08	2019-10-08	Hansard of October 08, 2019	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/documents/hansard/1571043137041523.pdf
lk_hansard_2010s	2019-09-20-2019-09-20	2019-09-20	2019-09-20	Hansard of September 20, 2019	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/documents/hansard/1569406652086554.pdf
lk_hansard_2010s	2019-09-19-2019-09-19	2019-09-19	2019-09-19	Hansard of September 19, 2019	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/documents/hansard/1569916664065117.pdf
lk_hansard_2010s	2019-09-18-2019-09-18	2019-09-18	2019-09-18	Hansard of September 18, 2019	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/documents/hansard/1569305895088877.pdf
lk_hansard_2010s	2019-09-17-2019-09-17	2019-09-17	2019-09-17	Hansard of September 17, 2019	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/documents/hansard/1568950262027674.pdf
lk_hansard_2010s	2019-09-06-2019-09-06	2019-09-06	2019-09-06	Hansard of September 06, 2019	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/documents/hansard/1568275714062295.pdf
lk_hansard_2010s	2019-09-05-2019-09-05	2019-09-05	2019-09-05	Hansard of September 05, 2019	https://www.parliament.lk/en/business-of-parliament/hansards	si-ta-en	https://www.parliament.lk/uploads/documents/hansard/1568268587003827.pdf
